description,category,severity,source,label,augmented,scenario
"**معرف العملية:** P-048
    **اسم العملية:** نظام الصراف الآلي ونقاط البيع

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'فشل الأجهزة' يستهدف 'أنظمة الدفع الإلكتروني'، وهو أحد الأصول الرئيسية لعملية 'نظام الصراف الآلي ونقاط البيع'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'عدم وجود تشفير للبيانات'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'نظام الصراف الآلي ونقاط البيع' ذات حرجية 'متوسط'، وتتطلب استعادة خلال 12.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 480 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 96 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - تحديث الخطط والإجراءات بناءً على الدروس المستفادة.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** عبدالله الشهراني (إدارة الأمن السيبراني)
    - **طريقة التواصل:** {'الطريقة': 'الخط الساخن', 'الرقم': '99000'}
    - **سبب التواصل:** التنسيق مع SAMA بشأن حادث مالي.

    **الخطر المتبقي المتوقع بعد الاستجابة:** منخفض ويتطلب إجراءً تصحيحياً خلال 30 يوماً.",PAM,High,data\bank_scenarios_import.csv,3,True,
غياب المصادقة متعددة العوامل MFA: حساب موظفة في إدارة الامتثال والرقابة الشرعية مخول له الاطلاع على تقارير غسيل الأموال (AML Reports) وملفات العملاء الحساسة دون اشتراط MFA. تم إنشاء الحساب باستثناء مؤقت لم يتم إلغاؤه منذ 8 أشهر. تُستخدم كلمة المرور وحدها للدخول إلى نظام إدارة الامتثال من أجهزة متعددة غير مُسجّلة. يُشكّل هذا الوضع مخالفة صريحة لمتطلبات حماية بيانات الامتثال الرقابي. ولم يُعثر على تذكرة موافقة مرتبطة.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,True,
Password policy violation: حساب موظف العمليات في قسم الخزينة (Treasury) لا يزال يستخدم كلمة المرور الافتراضية التي تم تعيينها عند إنشاء الحساب قبل 18 شهراً. كلمة المرور الافتراضية هي 'Welcome@123' وهي معروفة على نطاق واسع كأحد أكثر كلمات المرور شيوعاً في بيئات المؤسسات. يملك هذا الحساب صلاحية الاطلاع على بيانات المراكز المالية ومحافظ الاستثمار. تمثل هذه المخالفة تهديداً مباشراً للمعلومات المالية الحساسة التي قد تؤثر على قرارات السوق. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.,WEAK_PASSWORD,High,data\imtithal_violations_latest.csv,7,True,
Role exceeds job function: الحساب خدمة مؤتمت مستخدم في نظام تحويل الرواتب (Payroll System) يمتلك صلاحيات الوصول إدارية على وحدة الموارد البشرية بالكامل بما تشمل تعديل بيانات الموظفين وتغيير مستويات الرواتب، في حين أن وظيفته تقتصر على قراءة بيانات الرواتب وإرسالها إلى نظام SADAD. تم رصد محاولات غير معتادة لتعديل سجلات الموظفين من خلال هذا الحساب. غياب مبدأ الفصل بين المهام (Segregation of Duties) يجعل هذا الحساب بوابة لعمليات احتيال داخلي محتملة.,EXCESSIVE_PRIVILEGES,High,data\imtithal_violations_latest.csv,1,True,
مخالفة إدارة الحسابات المميزة PAM: رصدت أدوات المراقبة أن الحساب الخدمة المستخدم في تشغيل تطبيق الصيرفة الإلكترونية يمتلك صلاحيات db_owner على قاعدة بيانات العملاء الرئيسية، وهي صلاحيات تفوق ما يحتاجه التطبيق فعلياً. كلمة مرور الحساب ثابتة ومضمّنة بصيغة Hardcoded داخل ملفات إعداد التطبيق، وغير مشفرة. الحساب لا يخضع لسياسة انتهاء الصلاحية ولم يُراجَع منذ إطلاق النظام قبل 3 سنوات. وتم توثيق الملاحظة في تقرير التدقيق.,PAM,Critical,data\imtithal_violations_latest.csv,3,True,
حساب خامل أو موظف مغادر: تم رصد حساب خدمة مرتبط بتكامل نظام SWIFT لا يملك مالكاً محدداً في سجلات إدارة الهوية وخامل منذ 120 يوماً. الحساب يمتلك صلاحيات إرسال واستقبال رسائل SWIFT المالية على قنوات التحويلات الدولية. كلمة مرور الحساب لم تتغير منذ إنشائه قبل 5 سنوات ولا تتوافق مع سياسة كلمات المرور الحالية. يُمثل هذا الحساب خطراً مباشراً على العمليات المالية الدولية للبنك. وتم توثيق الملاحظة في تقرير التدقيق.,STALE_ACCOUNT,Critical,data\imtithal_violations_latest.csv,5,True,
انتهاك فصل المهام SoD: يمتلك مسؤول تقنية المعلومات المتعاقد Omar Hassan الأذونات مسؤول التطبيق (sysadmin) في نظام Core Banking فضلاً عن صلاحية تعديل سجلات المراجعة والتدقيق (Audit Logs). هذا التزاوج الخطير يمنح المتعاقد قدرة على تنفيذ أي تعديل في النظام ثم محو أثره من السجلات. تم رصد حالات حذف لسجلات تدقيق خلال فترات ما بعد منتصف الليل. وجود متعاقد خارجي بهذه الصلاحيات الجامعة يُشكّل تهديداً وجودياً لسلامة بيانات البنك.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
"SIEM/logging gap: these controls represent the 
minimum cybersecurity requirements for cloud computing",AUDIT_LOG_MISSING,Medium,pdf:NCA_CCC_Cloud.pdf,0,True,
عملية بنكية: تطبيق القروض عبر الإنترنت | القسم: تكنولوجيا المعلومات | حرجية: منخفض | التهديد: برمجيات خبيثة | نقطة الضعف: برامج غير محدثة | الأصول: جدران الحماية | RTO: 48.0h | RPO: 720m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6,False,
خلال اختبار اختراق داخلي، هوية المنصة مقاول خارجي متعاقد مع البنك لتطوير تطبيق الإنترنت البنكي يملك صلاحيات نشر الكود على بيئة الإنتاج المباشر دون المرور بعملية مراجعة وموافقة من فريق داخلي. يُعرّض ذلك بيئة الإنتاج لمخاطر إدخال ثغرات أو أكواد خبيثة عمداً أو بالخطأ. رُصد نشر 7 تحديثات مباشرة على بيئة الإنتاج دون توثيق طلب تغيير (Change Request) معتمد. هذا يمثل انتهاكاً لمبدأ فصل بيئات التطوير والإنتاج وفصل صلاحيات التطوير عن النشر. ويُصنَّف هذا كمخاطرة تشغيلية عالية.,SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,True,
حساب المستخدم غير مستخدم منذ أشهر في AD: حساب مقاول أجنبي عمل في مشروع تطوير تطبيق الهاتف المحمول للبنك وانتهى عقده منذ 6 أشهر لا يزال يمتلك وصولاً إلى بيئة التطوير (Development Environment) ومستودع الكود البرمجي. الحساب يملك صلاحيات Commit على فروع الكود الرئيسية. لم يتم إخطار فريق الأمن بانتهاء العقد من قِبل مدير المشروع. يمكن من خلال هذا الوصول حقن ثغرات في الكود قبل انتقاله لبيئة الإنتاج.,STALE_ACCOUNT,High,data\imtithal_violations_latest.csv,5,True,
غياب المصادقة متعددة العوامل MFA: حساب مستخدم عادي في قسم الموارد البشرية لديه وصول إلى نظام HR المتكامل الذي يحتوي على بيانات رواتب وعقود جميع موظفي البنك دون تفعيل MFA. تم رصد تسجيل دخول للحساب في ساعات غير اعتيادية (2 صباحاً) من جهاز غير مسجّل رسمياً. تشير البيانات إلى احتمال تعرّض كلمة المرور للاختراق عبر هجوم تصيّد احتيالي. يمكن لأي متسلل استغلال هذا الوصول للحصول على معلومات حساسة تتعلق بالموارد البشرية.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,True,
"انتهاك فصل المهام SoD: مسؤول الامتثال فيصل العتيبي يتولى مهمة تدقيق عمليات مكافحة غسيل الأموال (AML) ويمتلك في الوقت نفسه صلاحية تعديل قواعد نظام كشف المعاملات المشبوهة. هذا يعني أنه يمكنه ضبط معايير الكشف بما يتناسب مع مصالح محددة ثم إجراء التدقيق على النتائج المعدّلة. لوحظ تخفيض حد الإنذار لبعض العملاء من 50,000 ريال إلى 200,000 ريال دون توثيق مسوّغ رسمي. هذا يُفرغ منظومة الامتثال من محتواها ويعرّض البنك لمخاطر قانونية جسيمة.",SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
رُصد استخدام حساب خدمة تطبيق الرواتب من قِبل موظف بشري للدخول إلى بيئة الإنتاج مباشرة بكلمة مرور ثابتة لم تتغير منذ ثلاث سنوات. حسابات الخدمة يجب أن تُستخدم حصرياً من قِبل التطبيقات الآلية وليس البشر. تم اكتشاف أن أكثر من أربعة موظفين في قسم تقنية المعلومات يعرفون كلمة مرور الحساب ذاتها. يمثل هذا الوضع انعدام المساءلة الفردية وإمكانية إخفاء الأنشطة الضارة.,PAM,High,data\imtithal_violations_latest.csv,3,False,
عملية بنكية: نظام تخطيط موارد المؤسسة (ERP) | القسم: الخدمات المصرفية الرقمية | حرجية: متوسط | التهديد: تصيد احتيالي (Phishing) | نقطة الضعف: برامج غير محدثة | الأصول: أنظمة إدارة الهوية والوصول | RTO: 8.0h | RPO: 480m,PAM,Medium,data\bank_scenarios_import.csv,3,False,
حساب مدير الفرع على Kubernetes Cluster يستخدم صلاحيات privileged دون تذكرة PAM معتمدة.,PAM,High,,3,True,pam_134
حساب مستخدم عادي في فرع منطقة الرياض يعمل في قسم خدمة العملاء يملك صلاحية عرض وتعديل بيانات الحسابات البنكية دون تفعيل MFA. يستخدم الموظف جهازاً مشتركاً مع زملاء آخرين دون تسجيل خروج بين الجلسات. تم رصد الحساب يُنفّذ عمليات بحث مكثفة عن بيانات عملاء VIP خارج نطاق مهامه الوظيفية. يشير هذا النمط إلى احتمال وجود تهديد داخلي (Insider Threat).,MFA_MISSING,Medium,data\imtithal_violations_latest.csv,2,False,
يملك مسؤول الشبكة Ahmed_NetAdmin صلاحيات تكوين جدار الحماية (Firewall Configuration) في نظام البنية التحتية وصلاحية مراجعة سجلات الأحداث الأمنية في نفس الوقت. هذا يُمكّنه من فتح ثغرة أمنية في جدار الحماية ثم حذف أو تعديل السجلات الدالة عليها. تم رصد تغييرات في قواعد جدار الحماية مقرونة بفجوات في سجلات الأحداث الأمنية في تواريخ متطابقة. غياب الفصل بين إدارة الأمن التقني والمراجعة يُضعف الموقف الأمني للبنك.,SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,False,
"مخالفة إدارة الحسابات المميزة PAM: 2-2 
Identity and Access Management 
Objective To ensure the secure and restricted logical access to information and technology assets 
in order to prevent unauthorized access and allow only authorized access for users 
which are necessary to accomplish assigned tasks ويُصنَّف هذا كمخاطرة تشغيلية عالية.",PAM,Medium,pdf:NCA_CCC_Cloud.pdf,3,True,
خلال مراجعة تدقيق داخلية، سيناريو تعافي DRP-028: تهديد 'كارثة طبيعية (حريق)' يؤثر على [أنظمة إدارة الهوية والوصول]. إجراءات: تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة. وتم توثيق الملاحظة في تقرير التدقيق.,PAM,High,data\bank_scenarios_import.csv,3,True,
"نفس المستخدم يعتمد وينفذ: مستخدم في قسم الامتثال يحمل صلاحيات رفع تقارير مكافحة غسل الأموال (STR/SAR) للجهات الرقابية وفي الوقت ذاته صلاحيات عرض وتعديل حالات التحقيق المفتوحة المرتبطة بهذه التقارير. يُتيح هذا الوضع للموظف إغلاق أو تعديل تحقيق قيد الدراسة بما يتعارض مع نزاهة العملية الرقابية. تم رصد تعديل حالة تحقيقين من ""قيد المراجعة"" إلى ""مغلق"" دون مرور بمسار الإغلاق الرسمي. هذا يُضعف فاعلية منظومة مكافحة غسل الأموال ويُعرّض البنك لمخاطر قانونية. وتم توثيق الملاحظة في تقرير التدقيق.",SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,True,
استخدام صلاحيات privileged دون تفويض: أظهرت سجلات نظام PAM أن مسؤول أمن المعلومات 'Sarah_AlZahrani_CISO' تمكنت من الوصول إلى نظام الخزينة (Treasury Management System) باستخدام حساب مميز دون توثيق الغرض الوظيفي في نظام تذاكر الوصول المميز. الوصول استمر لأكثر من 4 ساعات وشمل الاطلاع على محافظ الاستثمار وأسعار الصفقات الحساسة. لا يوجد تسجيل لجلسة الوصول (Session Recording) لهذه الجلسة بسبب خلل في إعدادات نظام PAM. يمثل هذا إشكالية في ضمان المساءلة وشفافية استخدام الوصول المميز. ولم يُعثر على تذكرة موافقة مرتبطة.,PAM,Medium,data\imtithal_violations_latest.csv,3,True,
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:183 (NIST_SP_800_61_Incident.pdf): onse team. A study of incident characteristics may indicate systemic security weaknesses and threats, as well as changes in incident trends. This data can be put back into the risk assessment process, ultimately leading to the selection and implementation of additional controls. Another good use of the data is measuring the success of the incident response team. If incident data is collected and stored properly, it should provide several measures of the success (or at least the activities) of the incident response team. Incident data can also be collected to determine if a change to incident response capabilities causes a corresponding change in the team’s performance (e.g., improvements in efficiency, reductions in costs). Furthermore, organizations that are required to report incident in",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6,False,
"2- When correcting Personal Data, the Controller shall comply with the following: 
a) Ensure the accuracy and integrity of Personal Data by examining and reviewing 
supporting documents if necessary",AUDIT_LOG_MISSING,Medium,pdf:ImplementingRegulationPersonalDataProtectionLaw.pdf,0,False,
حساب موظفة في إدارة الامتثال والرقابة الشرعية مخول له الاطلاع على تقارير غسيل الأموال (AML Reports) وملفات العملاء الحساسة دون اشتراط MFA. تم إنشاء الحساب باستثناء مؤقت لم يتم إلغاؤه منذ 8 أشهر. تُستخدم كلمة المرور وحدها للدخول إلى نظام إدارة الامتثال من أجهزة متعددة غير مُسجّلة. يُشكّل هذا الوضع مخالفة صريحة لمتطلبات حماية بيانات الامتثال الرقابي.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,False,
حساب مطور التطبيقات على SWIFT يستخدم صلاحيات privileged دون تذكرة PAM معتمدة.,PAM,High,,3,True,pam_31
امتيازات DB/ERP أوسع من الحاجة: حساب خدمة لتطبيق Mobile Banking يعمل بصلاحيات Domain Admin على Active Directory الخاص بالبنك، وهي صلاحيات أعلى بكثير مما يتطلبه التطبيق للعمل. في حالة اختراق هذا التطبيق، سيتمكن المهاجم من التحكم الكامل في بنية الهوية للمؤسسة. تم رصد هذا الأمر خلال اختبار اختراق دوري. يعد هذا من أشد المخالفات خطورة في منظومة إدارة الهوية.,EXCESSIVE_PRIVILEGES,Critical,data\imtithal_violations_latest.csv,1,True,
نشاط غير طبيعي على الحساب: عملية بنكية: نظام تخطيط موارد المؤسسة (ERP) | القسم: المالية | حرجية: متوسط | التهديد: اختراق قاعدة البيانات | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: خوادم قواعد البيانات | RTO: 12.0h | RPO: 240m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6,True,
في بيئة Core Banking الإنتاجية، حساب مستخدم عادي في فرع بنكي يعمل على نظام تسجيل العملاء الجدد وفتح الحسابات لا يستخدم MFA رغم صلاحيته في إدخال وتعديل البيانات الشخصية للعملاء. يشمل ذلك الأرقام الوطنية ومعلومات التواصل والمعلومات الوظيفية والمالية. تم رصد أن الحساب يعمل أحياناً على أجهزة زملاء العمل الأخرى دون تسجيل خروج مسبق. هذا الوضع يُفضي إلى خلط المسؤوليات وضعف التدقيق في الأنشطة المنفذة.,MFA_MISSING,Medium,data\imtithal_violations_latest.csv,2,True,
Stale account — لم يُلغَ بعد انتهاء الخدمة: حساب المستخدم مستخدم في نظام إدارة الخزينة (Treasury Management System) يعود لموظفة انتقلت إلى فرع آخر قبل 6 أشهر لا يزال يحمل صلاحيات الوصول الفرع القديم بالإضافة إلى صلاحيات الفرع الجديد. هذا يخلق تراكماً في الصلاحيات يخالف مبدأ الحد الأدنى من الامتيازات. الحساب لم يُراجع ضمن دورة مراجعة الصلاحيات الربعية الأخيرة. وتم توثيق الملاحظة في تقرير التدقيق.,STALE_ACCOUNT,High,data\imtithal_violations_latest.csv,5,True,
الأذونات زائدة عن المطلوب وظيفياً: حساب خدمة تطبيق الواجهة الأمامية لبوابة الإنترنت البنكي يمتلك صلاحيات DBA كاملة على قاعدة بيانات الخزينة بدلاً من صلاحيات القراءة المحدودة اللازمة لعمله. يستطيع هذا الحساب تعديل وحذف سجلات المعاملات المالية الحساسة المتعلقة بعمليات الخزينة والاستثمارات. في حال اختراق التطبيق، سيتمكن المهاجم من التأثير المباشر على بيانات الخزينة. هذا يمثل خطراً جسيماً على سلامة العمليات المالية للبنك. ولم يُعثر على تذكرة موافقة مرتبطة.,EXCESSIVE_PRIVILEGES,Critical,data\imtithal_violations_latest.csv,1,True,
حساب مسؤول تقنية المعلومات يحمل في الوقت ذاته صلاحيات إدارة النظام الأساسي للبنك (Core Banking) وصلاحيات تعديل سجلات المراجعة والتدقيق (Audit Logs). هذا التداخل يُمكّن الشخص من إجراء تعديلات غير مشروعة على البيانات ثم حذف أثرها في سجلات المراجعة. يُشكّل ذلك مخاطرة بالغة على نزاهة البيانات وعملية التدقيق الجنائي الرقمي. يُعدّ الجمع بين صلاحيات التشغيل والرقابة في يد شخص واحد من أخطر أشكال انتهاك فصل المهام.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,False,
Authorize each type of remote access to the system prior to allowing such connections,AUDIT_LOG_MISSING,Medium,pdf:NIST_SP_800_53_Access.pdf,0,False,
انتهاك فصل المهام SoD: يمتلك مسؤول الامتثال Compliance_Admin_Nora الامتيازات تعديل سياسات AML بالإضافة إلى صلاحية الموافقة على استثناءات تقارير المعاملات المشبوهة (STR). يُمثّل جمع صلاحية وضع السياسة ومنح الاستثناء منها في يد واحدة تعارضاً جوهرياً مع مبدأ الرقابة المستقلة. تم رصد موافقتها على 23 استثناء STR في شهر واحد دون مراجعة من لجنة الامتثال. هذا الوضع قد يُعرّض البنك لمخاطر غسيل الأموال وعقوبات رقابية.,SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,True,
"نقص في سجلات التدقيق audit trail: guide to Essential Cybersecurity 
Controls (ECC) Implementation 
  
 
 
81 
Document Classification:  Public 
TLP: White  
• Implement security requirements of wireless networks in the organization, 
which may include the following: 
o Appropriate and advanced technologies for wireless network security and 
protection",AUDIT_LOG_MISSING,Medium,pdf:NCA_ECC_Implementation_Guide.pdf,0,True,
"Version History 
June 2020 
Version 1.0 
 
 
Dependencies 
- 
DG.1: Strategy and Plan 
- 
DG.2: Policy and Guidelines 
 
 
 
 
 
 
 
Public
  
 
 
27 
 
Domain Name 
Data Governance 
Domain ID 
DG 
 
 
Control Name 
Data Lifecycle Governance 
Control ID 
DG.6 
Control 
Description 
As part of the Data Lifecycle Governance control, the Entity shall conduct 
periodic reviews for the Data Management and Personal Data Protection Plan 
and implement a communications capability to communicate updates on Data 
Management and Personal Data Protection activities and its effectiveness 
 
Specification 
# 
Specification 
Name  
Control Specification 
Priority 
DG.6.1 
 
Periodic Plan 
Review 
The Entity shall conduct periodic reviews to the 
Entity’s Data Management and Personal Data 
Protection Plan, and document the outcome of 
these reviews, to ensure the plan maintains 
alignment 
towards 
the 
stated 
program 
objectives and evolving priorities",AUDIT_LOG_MISSING,Medium,pdf:DataManagementPersonalDataProtectionStandards.pdf,0,False,
حساب إداري في نظام إدارة المخاطر والسيولة (Liquidity Risk Management System) يعمل في بيئة الإنتاج بدون MFA، وهو حساب مشترك يستخدمه 3 محللين في دائرة المخاطر. يُعدّ استخدام الحسابات المشتركة بدون MFA مخالفةً مركّبة تجمع بين ضعف المساءلة وضعف المصادقة. تتضمن صلاحيات الحساب القدرة على تعديل معاملات نماذج مخاطر السيولة مما قد يُأثّر على تقارير الملاءة المالية المرفوعة للجهات التنظيمية. رُصد تعارض في توقيتات الجلسات يُشير إلى استخدام متزامن من مواقع مختلفة.,MFA_MISSING,Critical,data\imtithal_violations_latest.csv,2,False,
"في بيئة Core Banking الإنتاجية، a computer security incident is a violation or imminent threat of violation1 of computer security policies, 
acceptable use policies, or standard security practices",SUSPICIOUS_BEHAVIOR,Medium,pdf:NIST_SP_800_61_Incident.pdf,6,True,
عملية بنكية: نظام تخطيط موارد المؤسسة (ERP) | القسم: العمليات التقنية | حرجية: منخفض | التهديد: اختراق قاعدة البيانات | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: أنظمة إدارة الهوية والوصول | RTO: 48.0h | RPO: 1440m,PAM,High,data\bank_scenarios_import.csv,3,False,
