description,category,severity,source,label
"This type of telework requires the presence of 
cybersecurity controls that are aimed at helping businesses and consumers avoid and mitigate cyber 
threats and to resolved them with minimal impact on the vital interests of the state, its national security, 
sensitive infrastructure, priority sectors, government services and activities.
The National Cybersecurity Authority (referred to in this document as “The Authority” or “NCA”) 
developed the Telework Cybersecurity Controls (TCC – 1: 2021) after:
•	 Conducting a comprehensive study of multiple national and international cybersecurity frameworks 
and standards.
•	 Studying related national decisions, law and regulatory requirements.
•	 Reviewing and leveraging cybersecurity best practices.
•	 Analyzing previous cybersecurity incidents and attacks on government and other critical 
organizations.
•	 Surveying and considering opinions of multiple national organizations.
The NCA has aligned the TCC with the ECC",SUSPICIOUS_BEHAVIOR,Medium,pdf:NCA_TCC.pdf,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:245 (NIST_SP_800_61_Incident.pdf): rrently connected to the network (e.g., staff members on vacation, offsite employees who connect occasionally)? Scenario 3: Stolen Documents On a Monday morning, the organization’s legal department receives a call from the Federal Bureau of Investigation (FBI) regarding some suspicious activity involving the organization’s systems. Later that day, an FBI agent meets with members of management and the legal department to discuss the activity. The FBI has been investigating activity involving public posting of sensitive government documents, and some of the documents reportedly belong to the organization. The agent asks for the organization’s assistance, and management asks for the incident response team’s assistance in acquiring the necessary evidence to determine if these documents are leg",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
نظام الموارد البشرية سجّل نشاطاً مريباً على حساب مدير HR يتضمن تعديلات جماعية على بيانات الرواتب لعشرات الموظفين في جلسة واحدة دون اعتماد من مدير مالي. التعديلات تضمنت إضافة بدلات وحوافز غير موجودة في هيكل الرواتب المعتمد. جرت هذه العمليات في يوم عطلة رسمية مما يجعلها خارج دورة الاعتماد المعتادة. يُشير هذا النمط بقوة إلى احتمالية احتيال مالي داخلي.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
عملية بنكية: نظام إدارة المخاطر | القسم: العمليات التقنية | حرجية: حرج جداً | التهديد: تصيد احتيالي (Phishing) | نقطة الضعف: نقص النسخ الاحتياطي | الأصول: أنظمة كشف التسلل | RTO: 0.5h | RPO: 30m,SUSPICIOUS_BEHAVIOR,Critical,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من DOC:Oracle_SAMA_Advisory:015 (Oracle_SAMA_Advisory.pdf): o an extensive risk evaluation by Oracle. This evaluation considers environmental threats, power availability and stability, vendor reputation and history, neighboring facility functions (for example, high-risk manufacturing or high-threat targets), and geopolitical considerations, among other criteria. Oracle Cloud data centers align with Uptime Institute and Telecommunications Industry Association (TIA) ANSI/TIA- 942-A Tier 3 or Tier 4 standards and follow an N2 redundancy methodology for critical equipment operation. Data centers that house OCI services use redundant power sources and maintain generator backups in case a widespread electrical outage occurs. Server rooms are closely monitored for air temperature and humidity, and fire-suppression systems are in place. Data center staff a",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
حساب موظفة جديدة في قسم العمليات 'sara.alqahtani' تم إنشاؤه قبل أسبوعين فقط تمكّنت من الوصول إلى وحدة SWIFT Administration في نظام الدفع الدولي، وهي وحدة تتطلب عادةً صلاحيات مستوى مدير أول. الحساب أجرى تعديلات على قوالب رسائل SWIFT التجريبية دون تسجيل طلب تغيير رسمي. يشير ذلك إلى خلل في عملية منح الصلاحيات عند تأهيل الموظفين الجدد.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
نشاط غير طبيعي على الحساب: نظام الموارد البشرية سجّل نشاطاً مريباً على حساب مدير HR يتضمن تعديلات جماعية على بيانات الرواتب لعشرات الموظفين في جلسة واحدة دون اعتماد من مدير مالي. التعديلات تضمنت إضافة بدلات وحوافز غير موجودة في هيكل الرواتب المعتمد. جرت هذه العمليات في يوم عطلة رسمية مما يجعلها خارج دورة الاعتماد المعتادة. يُشير هذا النمط بقوة إلى احتمالية احتيال مالي داخلي. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.,SUSPICIOUS_BEHAVIOR,Critical,data\train_light_500.csv,6
عملية بنكية: مركز دعم العملاء | القسم: المالية | حرجية: متوسط | التهديد: خطأ بشري | نقطة الضعف: برامج غير محدثة | الأصول: أنظمة البريد الإلكتروني | RTO: 24.0h | RPO: 240m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
عملية بنكية: نظام تخطيط موارد المؤسسة (ERP) | القسم: الاستثمار | حرجية: منخفض | التهديد: انقطاع التيار الكهربائي | نقطة الضعف: نقص النسخ الاحتياطي | الأصول: أنظمة التخزين السحابي | RTO: 24.0h | RPO: 720m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من 0-73-4 (NIST_800_53.pdf): ], [SP 800-76-2], [SP 800-78-4], [SP 800-116]. PE-4 ACCESS CONTROL FOR TRANSMISSION Control:  Control physical access to [Assignment: organization-defined system distribution and transmission lines] within organizational facilities using [Assignment: organization-defined security controls]. Discussion:  Security controls applied to system distribution and transmission lines prevent accidental damage, disruption, and physical tampering. Such controls may also be necessary to prevent eavesdropping or modification of unencrypted transmissions. Security controls used to control physical access to system distribution and transmission lines include disconnected or locked spare jacks, locked wiring closets, protection of cabling by conduit or cable trays, and wiretapping sensors. Related Controls",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
عملية بنكية: تطبيق القروض عبر الإنترنت | القسم: إدارة المخاطر | حرجية: متوسط | التهديد: خطأ بشري | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: خوادم قواعد البيانات | RTO: 12.0h | RPO: 480m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
حساب مقاول خارجي يعمل على مشروع تطوير تطبيق الهاتف المحمول قام بالوصول إلى بيئة الإنتاج مباشرةً بدلاً من بيئة الاختبار المخصصة له. المقاول قام بتنفيذ سكريبتات غير موثقة على قاعدة بيانات بيانات KYC الخاصة بالعملاء. الأنشطة المرصودة تشمل تصدير ملفات بيانات ضخمة لم يتم توثيق غرضها. العقد الموقع مع الشركة المقاولة لا يُخوّله الوصول إلى بيانات العملاء الحقيقية في بيئة الإنتاج.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-081: تهديد 'هجوم سيبراني (برمجيات الفدية)' يؤثر على [شبكة المؤسسة]. إجراءات: تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات. التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: خدمات الدفع الإلكتروني | القسم: الخدمات المصرفية الرقمية | حرجية: متوسط | التهديد: تسرب بيانات | نقطة الضعف: نقطة دخول واحدة للفشل | الأصول: أنظمة كشف التسلل | RTO: 24.0h | RPO: 120m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-026: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أنظمة الدفع الإلكتروني, أنظمة كشف التسلل, شبكة المؤسسة]. إجراءات: تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
ملاحظة امتثال مستخرجة من 2-13-3 (NCA_ECC_Implementation_Guide.pdf): The requirements for cybersecurity incidents and threat management must include at least the following:,SUSPICIOUS_BEHAVIOR,Medium,data\train_light_500.csv,6
سلوك مشبوه anomaly: حساب خدمة مرتبط بنظام بوابة الدفع الإلكتروني يُسجل محاولات متكررة للوصول إلى واجهة برمجية (API) لنظام SWIFT خارج بروتوكولات التكامل المعتمدة. تشير السجلات إلى محاولات لحقن أوامر تحويل دولية بصيغ معدلة قد تتجاوز آليات الفلترة. يُعد هذا النمط مطابقاً لأساليب هجمات SWIFT المعروفة التي استهدفت بنوكاً في المنطقة. وتم توثيق الملاحظة في تقرير التدقيق.,SUSPICIOUS_BEHAVIOR,Critical,data\train_light_500.csv,6
"سيناريو تعافي DRP-047: تهديد 'انقطاع التيار الكهربائي' يؤثر على [أنظمة التخزين السحابي]. إجراءات: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من 2-12-4 (NCA_ECC_2018.pdf): Cybersecurity Incident and Threat Management 2-13 To ensure timely identification, detection, effective management and handling of cybersecurity incidents and threats to prevent or minimize negative impacts on organization’s operation taking into consideration the Royal Decree number 37140, dated 14/8/1438H. Objective Controls Requirements for cybersecurity incidents and threat management must be defined, documented and approved.",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
نشاط تسجيل دخول من 12 دولة مختلفة لنفس الحساب خلال ساعة.,SUSPICIOUS_BEHAVIOR,High,scenario_eval,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:256 (NIST_SP_800_61_Incident.pdf): ation? COMPUTER SECURITY INCIDENT HANDLING GUIDE 57 Scenario 9: Anonymous Threat On a Thursday afternoon, the organization’s physical security team receives a call from an IT manager, reporting that two of her employees just received anonymous threats against the organization’s systems. Based on an investigation, the physical security team believes that the threats should be taken seriously and notifies the appropriate internal teams, including the incident response team, of the threats. The following are additional questions for this scenario: 1. What should the incident response team do differently, if anything, in response to the notification of the threats? 2. What impact could heightened physical security controls have on the team’s responses to incidents? Scenario 10: Peer-to-Peer Fi",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
عملية بنكية: تطبيق الخدمات المصرفية عبر الجوال | القسم: الامتثال | حرجية: حرج | التهديد: انقطاع التيار الكهربائي | نقطة الضعف: عدم وجود تشفير للبيانات | الأصول: تطبيقات الويب | RTO: 2.0h | RPO: 30m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: نظام مكافحة الاحتيال | القسم: العمليات التقنية | حرجية: منخفض | التهديد: هجوم برامج الفدية (Ransomware) | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: أنظمة البريد الإلكتروني | RTO: 24.0h | RPO: 1440m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
رُصد حساب موظف خدمة العملاء 'mohamad.alharbi_cc' يقوم بتغيير معلومات التواصل (رقم الجوال وعنوان البريد الإلكتروني) لعدد كبير من حسابات العملاء دون وجود طلبات رسمية مسجّلة أو توثيق لهوية العملاء. خلال 3 أيام تم تعديل بيانات 89 عميلاً، وتزامنت عمليات التعديل مع عمليات إعادة تعيين كلمات مرور تطبيق البنك للعملاء أنفسهم.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"ملاحظة امتثال مستخرجة من DOC:Oracle_SAMA_Advisory:044 (Oracle_SAMA_Advisory.pdf): from Threat Intelligence to Audit logs and telemetry to detect suspicious activity and report it as a problem. For more information, see docs.oracle.com/iaas/Content/Security/Concepts/security_features.htm#Cloud_Guard.  Vulnerability Scanning helps improve security posture by routinely checking compute instances and container images for potential vulnerabilities. The service generates reports with metrics and details about these vulnerabilities and assigns each a risk level. For more information, see docs.oracle.com/iaas/Content/Security/Concepts/security_features.htm#security_features_topic_Scanning. 13 Advisory: Oracle Cloud Infrastructure and Saudi Arabian Monetary Authority (SAMA) Cyber Security Framework / version 2.0 Copyright © 2023, Oracle and/or its affiliates / Public Additional",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
سيناريو تعافي DRP-024: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [شبكة المؤسسة]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تحويل حركة المرور إلى الموقع البديل (DR Site).,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-016: تهديد 'كارثة طبيعية (حريق)' يؤثر على [أجهزة المستخدمين النهائية, خوادم قواعد البيانات, أنظمة كشف التسلل]. إجراءات: تعطيل الوصول غير المصرح به. تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:046 (NIST_SP_800_61_Incident.pdf): of money.  A user provides or exposes sensitive information to others through peer-to-peer file sharing services. 2.2 Need for Incident Response Attacks frequently compromise personal and business data, and it is critical to respond quickly and effectively when security breaches occur. The concept of computer security incident response has become widely accepted and implemented. One of the benefits of having an incident response capability is that it supports responding to incidents systematically (i.e., following a consistent incident handling methodology) so that the appropriate actions are taken. Incident response helps personnel to minimize loss or theft of information and disruption of services caused by incidents. Another benefit of incident response is the ability to use informatio",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
عملية بنكية: نظام تخطيط موارد المؤسسة (ERP) | القسم: المالية | حرجية: حرج جداً | التهديد: هجوم حجب الخدمة (DDoS) | نقطة الضعف: نظام قديم | الأصول: جدران الحماية | RTO: 0.5h | RPO: 15m,SUSPICIOUS_BEHAVIOR,Critical,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-064: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [أنظمة الدفع الإلكتروني, جدران الحماية]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من 0-79-2 (NIST_800_53.pdf): ]. Acceptance of PIV-compliant credentials includes derived PIV credentials, the use of which is addressed in [SP 800-166]. The DOD Common Access Card (CAC) is an example of a PIV credential. Related Controls:  None. (13) IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | OUT-OF-BAND AUTHENTICATION Implement the following out-of-band authentication mechanisms under [Assignment: organization-defined conditions]: [Assignment: organization-defined out-of-band authentication]. NIST SP 800-53, REV. 5                                                                                     SECURITY AND PRIVACY CONTROLS FOR INFORMATION SYSTEMS AND ORGANIZATIONS _________________________________________________________________________________________________ CHAPTER THREE PAGE 135 This publicati",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"سيناريو تعافي DRP-037: تهديد 'فشل الشبكة الرئيسية' يؤثر على [تطبيقات الويب, أنظمة كشف التسلل]. إجراءات: تعطيل الوصول غير المصرح به. تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-032: تهديد 'كارثة طبيعية (حريق)' يؤثر على [أنظمة كشف التسلل, أنظمة الدفع الإلكتروني]. إجراءات: تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"خلال اختبار اختراق داخلي، essential Cybersecurity Controls
 ﻣﻘﻴﺪ- 
 ﻣحﺪود 
27 
Document classification: Public  
 
 
 
 
 
 
 
TLP: White 
 مقيد- 
 محدود 
2-13-3 
Requirements for cybersecurity incident and threat management shall include the 
following as a minimum:  
2.13.3.1 Cybersecurity incident response plans and escalation procedures",SUSPICIOUS_BEHAVIOR,Medium,data\train_light_500.csv,6
رُصد حساب موظف في قسم إدارة الثروات يصل بشكل متكرر إلى محافظ عملاء VIP من فئة Ultra-High-Net-Worth لا تندرج ضمن قائمة عملائه المعينين. الوصول يشمل الاطلاع على تفاصيل الاستثمارات والأصول والمعلومات الضريبية الحساسة. النمط يُظهر اهتماماً انتقائياً بعملاء محددين في قطاع معين مما قد يدل على التجسس التجاري أو التحضير لاصتياد العملاء. هذه المخالفة تنتهك سرية بيانات العملاء المحمية بموجب التشريعات السعودية.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
سيناريو تعافي DRP-065: تهديد 'خطأ بشري' يؤثر على [تطبيقات الويب]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية. تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
سيناريو تعافي DRP-082: تهديد 'تسرب بيانات' يؤثر على [خوادم قواعد البيانات]. إجراءات: عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة. تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:146 (NIST_SP_800_61_Incident.pdf): et sniffers.  Filter the Data. There is simply not enough time to review and analyze all the indicators; at minimum the most suspicious activity should be investigated. One effective strategy is to filter out categories of indicators that tend to be insignificant. Another filtering strategy is to show only the categories of indicators that are of the highest significance; however, this approach carries substantial risk because new malicious activity may not fall into one of the chosen indicator categories.  Seek Assistance from Others. Occasionally, the team will be unable to determine the full cause and nature of an incident. If the team lacks sufficient information to contain and eradicate the incident, then it should consult with internal resources (e.g., information security staff) a",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"اكتشف نظام المراقبة أن حساب المستخدم النهائي 'user_sultan.alzahrani' يحاول الوصول المتكرر إلى وحدة تقارير الائتمان الداخلية لعملاء من خارج منطقة عمله المحددة جغرافياً. تجاوز الحساب حدود الوصول المعتمدة بمحاولة الاطلاع على 1,200 تقرير ائتماني خلال يوم عمل واحد مقارنة بمتوسط 15 تقريراً يومياً. تركّزت الطلبات على عملاء من قطاع الأعمال الكبيرة والشركات المدرجة في السوق المالية. يُرجَّح استخدام هذه البيانات لأغراض تجارية غير مشروعة أو بيعها لجهات منافسة. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.",SUSPICIOUS_BEHAVIOR,Medium,data\train_light_500.csv,6
حساب مقاول خارجي مرتبط بشركة تطوير برمجيات تم تعيينها لتنفيذ مشروع محدد في وحدة الخزينة، لا يزال نشطاً بعد 47 يوماً من انتهاء العقد رسمياً. الحساب قام بالوصول إلى واجهات برمجة التطبيقات الخاصة بنظام إدارة السيولة وتنفيذ صفقات اختبارية في بيئة الإنتاج. تم رصد تحويل ملفات إعداد النظام إلى عنوان بريد إلكتروني خارجي غير مصرح به. يشير ذلك إلى إخفاق واضح في عملية إلغاء الصلاحيات عند انتهاء العقد.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-079: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أجهزة المستخدمين النهائية, تطبيقات الويب, أنظمة الدفع الإلكتروني]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"نشاط غير طبيعي على الحساب: سيناريو تعافي DRP-076: تهديد 'كارثة طبيعية (حريق)' يؤثر على [شبكة المؤسسة, تطبيقات الويب, خوادم قواعد البيانات]. إجراءات: تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء. تعطيل الوصول غير المصرح به. ولم يُعثر على تذكرة موافقة مرتبطة.",SUSPICIOUS_BEHAVIOR,High,data\train_light_500.csv,6
"سيناريو تعافي DRP-025: تهديد 'فشل مزود الخدمة السحابية' يؤثر على [أنظمة البريد الإلكتروني, أنظمة التخزين السحابي, جدران الحماية]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تعطيل الوصول غير المصرح به.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
