description,category,agent,source,scenario_id,operation_name
"سيناريو DRP DRP-011
تهديد: هجوم سيبراني (برمجيات الفدية)
عملية: P-056
أصول: أنظمة الدفع الإلكتروني, أنظمة كشف التسلل, أنظمة البريد الإلكتروني
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; تطبيق التشفير للبيانات الحساسة أثناء التخزين والإرسال.
أثناء: تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.; تقديم تقارير الامتثال للجهات التنظيمية (SAMA, NCA) بعد التعافي.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السالم"", ""المنص",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-011,
"سيناريو DRP DRP-012
تهديد: تسرب بيانات
عملية: P-088
أصول: أنظمة التخزين السحابي
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.
أثناء: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.
تعافي: تقديم تقارير الامتثال للجهات التنظيمية (SAMA, NCA) بعد التعافي.; تحديث الخطط والإجراءات بناءً على الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السالم"", ""المنصب"": ""إدارة الع",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-012,
"سيناريو DRP DRP-013
تهديد: فشل نظام قاعدة البيانات
عملية: P-050
أصول: أجهزة المستخدمين النهائية, أنظمة التخزين السحابي
استباقي: تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).; تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.; إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.
أثناء: تحويل حركة المرور إلى الموقع البديل (DR Site).; تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.; تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ريم العنزي"", ""المنصب"": ""إدارة الامتثال""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خالد عبدا",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-013,
"سيناريو DRP DRP-014
تهديد: كارثة طبيعية (حريق)
عملية: P-088
أصول: شبكة المؤسسة, تطبيقات الويب
استباقي: توفير أنظمة طاقة احتياطية (UPS/مولدات) للمرافق الحيوية.; إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.
أثناء: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.
تعافي: تعزيز الإجراءات الأمنية لمنع تكرار الحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""سارة المحمد"", ""المنصب"": ""إدارة الامتثال""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ريم العنزي"", ""المنصب"": ""إدارة الامتثال""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المن",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-014,
"سيناريو DRP DRP-015
تهديد: انقطاع التيار الكهربائي
عملية: P-084
أصول: خوادم قواعد البيانات, شبكة المؤسسة
استباقي: تفعيل حلول منع تسرب البيانات (DLP) على البريد الإلكتروني والأجهزة ونقاط الخروج.; إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.
أثناء: تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.; عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
تعافي: اختبار وظائف الأنظمة المستعادة والتحقق من سلامة البيانات.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السالم"", ""المنص",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-015,
"سيناريو DRP DRP-016
تهديد: كارثة طبيعية (حريق)
عملية: P-035
أصول: أجهزة المستخدمين النهائية, خوادم قواعد البيانات, أنظمة كشف التسلل
استباقي: إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.; تفعيل حلول منع تسرب البيانات (DLP) على البريد الإلكتروني والأجهزة ونقاط الخروج.; تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).
أثناء: تعطيل الوصول غير المصرح به.; تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.
تعافي: إعادة تشغيل الخدمات بشكل تدريجي ومراقب.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ريم العنزي"", ""المنصب"": ""إدارة الامتثال""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""ليلى السال",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-016,
"سيناريو DRP DRP-017
تهديد: فشل نظام قاعدة البيانات
عملية: P-017
أصول: شبكة المؤسسة, أنظمة إدارة الهوية والوصول, أنظمة التخزين السحابي
استباقي: تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.; تفعيل حلول منع تسرب البيانات (DLP) على البريد الإلكتروني والأجهزة ونقاط الخروج.
أثناء: تحويل حركة المرور إلى الموقع البديل (DR Site).; تطبيق إجراءات الإغلاق الآمن للأنظمة المتأثرة.
تعافي: تعزيز الإجراءات الأمنية لمنع تكرار الحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خالد عبدالرحمن"", ""المنصب"": ""إدارة",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-017,
"سيناريو DRP DRP-018
تهديد: هجوم سيبراني (برمجيات الفدية)
عملية: P-091
أصول: جدران الحماية, أنظمة البريد الإلكتروني
استباقي: مراجعة دورية لضوابط NCA و SAMA لضمان الامتثال.; إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.
أثناء: تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.; تفعيل فريق الاستجابة للحوادث وتوثيق كل الإجراءات.
تعافي: إشعار الجهات التنظيمية (مثل SAMA, NCA, PDPL) بالحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": ",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-018,
"سيناريو DRP DRP-019
تهديد: هجوم حجب الخدمة (DDoS)
عملية: P-089
أصول: خوادم قواعد البيانات
استباقي: تفعيل حلول منع تسرب البيانات (DLP) على البريد الإلكتروني والأجهزة ونقاط الخروج.
أثناء: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.
تعافي: إشعار الجهات التنظيمية (مثل SAMA, NCA, PDPL) بالحادث.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاس",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-019,
"سيناريو DRP DRP-020
تهديد: هجوم سيبراني (برمجيات الفدية)
عملية: P-009
أصول: شبكة المؤسسة, أنظمة الدفع الإلكتروني, تطبيقات الويب
استباقي: تصنيف البيانات حسب حساسيتها وتحديد ملاك البيانات بوضوح.
أثناء: عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.
تعافي: تحديث الخطط والإجراءات بناءً على الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ريم العنزي"", ""المنصب"": ""إدارة الامتثال""}, ""طريقة_التواصل"": {""الطريقة"": ""تطبيق المراسلة الآمن"", ""الاسم"": ""SecureChat""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""أحمد الزهراني"", ""المنصب"": """,DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-020,
"سيناريو DRP DRP-021
تهديد: كارثة طبيعية (حريق)
عملية: P-069
أصول: شبكة المؤسسة, جدران الحماية
استباقي: تطبيق التشفير للبيانات الحساسة أثناء التخزين والإرسال.; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.
أثناء: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.; تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.
تعافي: إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.; إعادة تشغيل الخدمات بشكل تدريجي ومراقب.; استعادة الأنظمة والبيانات من النسخ الاحتياطية النظيفة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""سارة المحمد"", ""المنصب"": ""إدارة الامتثال""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""الخط الساخن"", ""الرقم"": ""99000""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خالد عبدالرحمن"", ""المنصب"": ""إدارة مكتب البيان",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-021,
"سيناريو DRP DRP-022
تهديد: هجوم حجب الخدمة (DDoS)
عملية: P-023
أصول: أنظمة الدفع الإلكتروني
استباقي: إجراء نسخ احتياطية دورية خارج الموقع (Offsite Backups) واختبارها.
أثناء: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.; تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.
تعافي: تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.; تقديم تقارير الامتثال للجهات التنظيمية (SAMA, NCA) بعد التعافي.; تحديث الخطط والإجراءات بناءً على الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""فهد العتيبي"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""محمد بديري"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاسم"": ""خال",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-022,
"سيناريو DRP DRP-023
تهديد: فشل الشبكة الرئيسية
عملية: P-016
أصول: شبكة المؤسسة
استباقي: تطبيق التشفير للبيانات الحساسة أثناء التخزين والإرسال.; تدريب الموظفين على الوعي الأمني وسياسات التعامل مع البيانات.; تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).
أثناء: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.; تحويل حركة المرور إلى الموقع البديل (DR Site).
تعافي: تحديث الخطط والإجراءات بناءً على الدروس المستفادة.; تقديم تقارير الامتثال للجهات التنظيمية (SAMA, NCA) بعد التعافي.; إجراء تحليل ما بعد الحادث (Post-Incident Review) وتوثيق الدروس المستفادة.
تواصل: {""مسؤول_التواصل"": {""الاسم"": ""عبدالله الشهراني"", ""المنصب"": ""إدارة الأمن السيبراني""}, ""مسؤول_التواصل_البديل"": {""الاسم"": ""ناصر القحطاني"", ""المنصب"": ""إدارة تكنولوجيا المعلومات""}, ""طريقة_التواصل"": {""الطريقة"": ""البريد الإلكتروني للطوارئ"", ""البريد"": ""emergency@example.com""}, ""مسؤول_استقبال_الاتصال"": {""الاس",DRP_SCENARIO,drp,drp_scenarios_arabic_v2,DRP-023,
