description,category,severity,source,label
"ملاحظة امتثال مستخرجة من 0-60-1 (NIST_SP_800_53_Access.pdf): ], [SP 800-60-2], [SP 800-160-1]. PM-12 INSIDER THREAT PROGRAM Control:  Implement an insider threat program that includes a cross-discipline insider threat incident handling team. Discussion:  Organizations that handle classified information are required, under Executive Order 13587 [EO 13587] and the National Insider Threat Policy [ODNI NITP], to establish insider threat programs. The same standards and guidelines that apply to insider threat programs in classified environments can also be employed effectively to improve the security of controlled unclassified and other information in non-national security systems. Insider threat programs include controls to detect and prevent malicious insider activity through the centralized integration and analysis of both technical and nontechnical i",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
عملية بنكية: التحقق من هوية العميل (KYC) | القسم: القنوات الرقمية | حرجية: منخفض | التهديد: اختراق قاعدة البيانات | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: أنظمة الدفع الإلكتروني | RTO: 24.0h | RPO: 480m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
تم رصد حساب المدير التقني لنظام Core Banking وهو يقوم بتسجيل دخول متكرر في أوقات غير اعتيادية بين الساعة 2:00 و4:00 صباحاً على مدار ثلاثة أيام متتالية. قام الحساب بالوصول إلى جداول قاعدة البيانات الخاصة بالحسابات البنكية وتنفيذ استعلامات استخراج بيانات ضخمة غير مصرح بها. لم يكن هناك أي طلب تغيير معتمد أو جدولة صيانة مسبقة لتبرير هذا النشاط. يُشير هذا السلوك إلى احتمال تسريب بيانات العملاء أو إساءة استخدام الصلاحيات.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-031: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [أنظمة كشف التسلل, جدران الحماية]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: نظام إدارة المخاطر | القسم: العمليات التقنية | حرجية: حرج جداً | التهديد: تصيد احتيالي (Phishing) | نقطة الضعف: نقص النسخ الاحتياطي | الأصول: أنظمة كشف التسلل | RTO: 0.5h | RPO: 30m,SUSPICIOUS_BEHAVIOR,Critical,data\bank_scenarios_import.csv,6
عملية بنكية: عمليات الخزانة | القسم: تكنولوجيا المعلومات | حرجية: حرج | التهديد: هجوم حجب الخدمة (DDoS) | نقطة الضعف: عدم وجود تشفير للبيانات | الأصول: جدران الحماية | RTO: 2.0h | RPO: 120m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-064: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [أنظمة الدفع الإلكتروني, جدران الحماية]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: نظام مكافحة الاحتيال | القسم: العمليات التقنية | حرجية: منخفض | التهديد: هجوم برامج الفدية (Ransomware) | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: أنظمة البريد الإلكتروني | RTO: 24.0h | RPO: 1440m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: التحقق من هوية العميل (KYC) | القسم: إدارة المخاطر | حرجية: حرج | التهديد: فشل الأجهزة | نقطة الضعف: نقطة دخول واحدة للفشل | الأصول: خوادم قواعد البيانات | RTO: 6.0h | RPO: 30m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
تم اكتشاف أن حساب مدير الشبكة 'netadmin_khalid.s' يقوم بفتح نفق SSH مشفر إلى خادم خارجي خلال ساعات العمل بشكل يومي منتظم على مدار أسبوعين. يستخدم الحساب أداة tunneling غير معتمدة للتحايل على أنظمة الفحص وفق سياسة أمن الشبكات. تُظهر السجلات أن كميات كبيرة من البيانات تُرسَل عبر هذا النفق إلى عناوين IP في نطاقات مشبوهة. يُرجَّح أن هذا النشاط يُمثّل قناة تسريب بيانات مستمرة لمعلومات البنية التحتية الشبكية.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:206 (NIST_SP_800_61_Incident.pdf): major incidents. Lessons learned meetings are extremely helpful in improving security measures and the incident handling process itself. COMPUTER SECURITY INCIDENT HANDLING GUIDE 45 4. Coordination and Information Sharing The nature of contemporary threats and attacks makes it more important than ever for organizations to work together during incident response. Organizations should ensure that they effectively coordinate portions of their incident response activities with appropriate partners. The most important aspect of incident response coordination is information sharing, where different organizations share threat, attack, and vulnerability information with each other so that each organization’s knowledge benefits the other. Incident information sharing is frequently mutually beneficia",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:133 (NIST_SP_800_61_Incident.pdf): alyzing new attacks. The National Vulnerability Database (NVD) contains information on vulnerabilities.32 Organizations such as US-CERT33 and CERT®/CC periodically provide threat update information through briefings, web postings, and mailing lists. People People from within the organization Users, system administrators, network administrators, security staff, and others from within the organization may report signs of incidents. It is important to validate all such reports. One approach is to ask people who provide such information how confident they are of the accuracy of the information. Recording this estimate along with the information provided can help considerably during incident analysis, particularly when conflicting data is discovered. People from other organizations Reports of i",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من 2-13-1 (NCA_ECC_Implementation_Guide.pdf): Requirements for cybersecurity incidents and threat management must be defined, documented and approved. Relevant cybersecurity tools: • Cybersecurity Incident and Threat Management Policy Template. Control implementation guidelines • Develop and document cybersecurity policy for Cybersecurity Incident and Threat management in the organization, including the following: o Define a cybersecurity incident response plan. o Classify cybersecurity incidents by severity. o Define the roles and responsibilities for cybersecurity incident response and how to communicate with all stakeholders. o Define a mechanism for notifying the National Cybersecurity Authority in the event of a cybersecurity incident. o Share incidents notifications, threat intelligence, intrusion indicators and reports with NCA",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
حساب مستخدم عادي في القسم التشغيلي 'faisal.alhajri' حاول الوصول إلى لوحة تحكم إدارة مفاتيح التشفير (HSM Management Console) الخاصة بنظام الدفع سبع مرات متتالية خلال 10 دقائق. على الرغم من رفض جميع المحاولات، استمر المستخدم في المحاولة مع تغيير طفيف في معاملات الطلب. هذا النمط يشير إلى محاولة استكشاف نقاط ضعف في آلية التحكم في الوصول أو محاولة تصعيد الصلاحيات.,SUSPICIOUS_BEHAVIOR,Medium,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-047: تهديد 'انقطاع التيار الكهربائي' يؤثر على [أنظمة التخزين السحابي]. إجراءات: التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"Guide to Essential Cybersecurity 
Controls (ECC) Implementation 
  
 
 
131 
Document Classification:  Public 
TLP: White  
2-13-3 
The requirements for cybersecurity incidents and threat management must include at 
least the following: 
2-13-3-1 Cybersecurity incident response plans and escalation procedures",SUSPICIOUS_BEHAVIOR,Medium,pdf:NCA_ECC_Implementation_Guide.pdf,6
"ملاحظة امتثال مستخرجة من 2-13-3 (NCA_ECC_2024_EN.pdf): Requirements for cybersecurity incident and threat management shall include the following as a minimum: 2.13.3.1 Cybersecurity incident response plans and escalation procedures. 2.13.3.2 Cybersecurity incident classification. 2.13.3.3 Reporting cybersecurity incidents to the NCA. 2.13.3.4 Sharing cybersecurity incident notifications, threat intelligence, penetration indicators, and incident reports with the NCA. 2.13.3.5 Collecting and handling threat intelligence feeds.",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
عملية بنكية: تطبيق القروض عبر الإنترنت | القسم: إدارة المخاطر | حرجية: متوسط | التهديد: خطأ بشري | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: خوادم قواعد البيانات | RTO: 12.0h | RPO: 480m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6
"**معرف العملية:** P-015
    **اسم العملية:** منصة التداول الإلكتروني

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'تصيد احتيالي (Phishing)' يستهدف 'أنظمة كشف التسلل'، وهو أحد الأصول الرئيسية لعملية 'منصة التداول الإلكتروني'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'ضعف كلمات المرور'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'منصة التداول الإلكتروني' ذات حرجية 'حرج'، وتتطلب استعادة خلال 4.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 30 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 12 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تحديد موقع بديل للتعافي من الكوارث (DR Site) وتجهيزه.
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء.
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - تحليل سبب التسرب وتشفير البيانات بناءً على تصنيفها.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** فهد العتيبي (إدارة تكنولوجيا المعلومات)
    - **طريقة التواصل:** {'الطريقة': 'تطبيق المراسلة الآمن', 'الاسم': 'SecureChat'}
    - **سبب التواصل:** طلب تفعيل خطة استمرارية الأعمال.

    **الخطر المتبقي المتوقع بعد الاستجابة:** منخفض",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من PDPL (File0001.pdf): Article 19, AI Ethics Principles – Principle 2) 6.2 Data Privacy and Protection 6.1 Regulatory Compliance Deepfakes Guidelines: Mitigating risks while fostering innovation 19 6.2.2 Develop and maintain an incident response plan to quickly address and mitigate any data breaches or security threats, ensuring minimal impact on personal data integrity. 6.2.3  اSecure consent from individuals or entities before using their data in deepfake content. For long- term contracts, consent may include broad usage rights if specified in the terms. 6.2.4  اMMaintain consent records securely, ensuring they are encrypted and backed up to prevent loss or tampering. Consent management systems should be auditable and compliant with relevant data protec­ tion laws 6.2.5  Provide data subjects with detailed inf",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من 2-13-1 (NCA_ECC_2024_EN.pdf): Requirements for cybersecurity incident and threat management within the entity shall be identified, documented, and approved.",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
رصد نظام IAM حساب 'svc_DataBackup' المخصص لعمليات النسخ الاحتياطي يُنشئ اتصالات شبكية خارجية نحو عناوين IP غير مدرجة في قائمة الوجهات المعتمدة. تتطابق هذه العناوين مع بنية تحتية معروفة لمجموعات APT. تزامن النشاط مع جلسات نقل بيانات بلغ حجمها 800 ميغابايت خارج جدول النسخ الاحتياطي المعتمد.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-079: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أجهزة المستخدمين النهائية, تطبيقات الويب, أنظمة الدفع الإلكتروني]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-025: تهديد 'فشل مزود الخدمة السحابية' يؤثر على [أنظمة البريد الإلكتروني, أنظمة التخزين السحابي, جدران الحماية]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. تعطيل الوصول غير المصرح به.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: خدمات الاستثمار | القسم: القنوات الرقمية | حرجية: حرج جداً | التهديد: كارثة طبيعية | نقطة الضعف: نقص الوعي الأمني للموظفين | الأصول: تطبيقات الويب | RTO: 1.0h | RPO: 30m,SUSPICIOUS_BEHAVIOR,Critical,data\bank_scenarios_import.csv,6
"سيناريو تعافي DRP-084: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أجهزة المستخدمين النهائية, خوادم قواعد البيانات, أنظمة كشف التسلل]. إجراءات: تفعيل خطة الاتصال الطارئة لإبلاغ الموظفين والعملاء. التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
عملية بنكية: عمليات الخزانة | القسم: خدمة العملاء | حرجية: حرج جداً | التهديد: تصيد احتيالي (Phishing) | نقطة الضعف: تكوينات خاطئة | الأصول: أنظمة كشف التسلل | RTO: 1.0h | RPO: 5m,SUSPICIOUS_BEHAVIOR,Critical,data\bank_scenarios_import.csv,6
سيناريو تعافي DRP-034: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أنظمة التخزين السحابي]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:177 (NIST_SP_800_61_Incident.pdf): ncident Activity Figure 3-4. Incident Response Life Cycle (Post-Incident Activity) 3.4.1 Lessons Learned One of the most important parts of incident response is also the most often omitted: learning and improving. Each incident response team should evolve to reflect new threats, improved technology, and lessons learned. Holding a “lessons learned” meeting with all involved parties after a major incident, and optionally periodically after lesser incidents as resources permit, can be extremely helpful in improving security measures and the incident handling process itself. Multiple incidents can be covered in a single lessons learned meeting. This meeting provides a chance to achieve closure with respect to an incident by reviewing what occurred, what was done to intervene, and how well inte",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من 2-13-4 (NCA_OTCC.pdf): , the cybersecurity re- quirements for cybersecurity incident and threat management in OT/ICS environment must be reviewed, and their implementation effectiveness is measured and evaluated periodically. Objective 35 Document Classification: Public Sharing Indicator: White Operational Technology Cybersecurity Controls Cybersecurity Resilience 3 Cybersecurity Resilience Aspects of Business Continuity Management (BCM) 3-1 To ensure the inclusion of the cybersecurity resiliency requirements within the organi- zation’s business continuity management and to remediate and minimize the impacts on OT/ICS environment from disasters caused by cybersecurity incidents.",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"تم اكتشاف حساب مدير النظام في وحدة الخزينة يقوم بتنفيذ تحويلات اختبارية متكررة بمبالغ تقل عن حد التقرير المطلوب (Structuring) بهدف محتمل لتجنب آليات الرصد الآلي. سُجلت 23 معاملة اختبارية بمبالغ تتراوح بين 8,000 و9,500 ريال خلال يوم عمل واحد. هذا النشاط يثير مخاوف جدية تتعلق بالامتثال لأنظمة مكافحة غسل الأموال. تجاوز عدد المعاملات الحد الطبيعي للاختبار بمقدار 15 ضعفاً.",SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
رُصد حساب مسؤول قواعد البيانات 'Faisal Al-Otaibi' وهو يُنشئ حسابات مستخدمين سرية بصلاحيات قراءة كاملة على قاعدة بيانات النظام المصرفي الأساسي دون أي توثيق رسمي. تجاوز عدد الحسابات المُنشأة 5 حسابات خلال أسبوعين باستخدام أسماء عشوائية تُحاكي حسابات النظام (System Accounts). لم يُبلَّغ فريق أمن المعلومات أو إدارة الهوية والوصول بأي من هذه الحسابات. يُمثل هذا السلوك إنشاء أبواب خلفية محتملة (Backdoor Accounts) في البيئة الإنتاجية.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"سيناريو تعافي DRP-069: تهديد 'انقطاع التيار الكهربائي' يؤثر على [أنظمة البريد الإلكتروني, تطبيقات الويب]. إجراءات: تفعيل خطة استمرارية الأعمال للعمليات المتأثرة. عزل مصدر التسرب وتحديد نوع البيانات المتأثرة وحجمها والأطراف المتضررة.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
سيناريو تعافي DRP-095: تهديد 'هجوم سيبراني (برمجيات الفدية)' يؤثر على [شبكة المؤسسة]. إجراءات: تعطيل الوصول غير المصرح به. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
حساب مقاول خارجي 'contractor_Ahmed_Sys' ممنوح وصولاً مؤقتاً لمدة أسبوعين لإجراء أعمال صيانة على نظام Core Banking لا يزال نشطاً بعد 45 يوماً من انتهاء العقد. الحساب سجّل دخولاً خلال الفترة الممتدة بدون تفويض، وتمكّن من الوصول إلى وحدة التقارير المالية وتحميل ملفات Excel تحتوي على بيانات معاملات للربع الأخير. يشير ذلك إلى خلل في عملية إلغاء الصلاحيات عند انتهاء العقود.,SUSPICIOUS_BEHAVIOR,High,data\imtithal_violations_latest.csv,6
"Incident: A violation or imminent threat of violation of computer security policies, acceptable use 
policies, or standard security practices",SUSPICIOUS_BEHAVIOR,Medium,pdf:NIST_SP_800_61_Incident.pdf,6
"ملاحظة امتثال مستخرجة من 0-79-2 (NIST_SP_800_53_Access.pdf): ]. Acceptance of PIV-compliant credentials includes derived PIV credentials, the use of which is addressed in [SP 800-166]. The DOD Common Access Card (CAC) is an example of a PIV credential. Related Controls:  None. (13) IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | OUT-OF-BAND AUTHENTICATION Implement the following out-of-band authentication mechanisms under [Assignment: organization-defined conditions]: [Assignment: organization-defined out-of-band authentication]. NIST SP 800-53, REV. 5                                                                                     SECURITY AND PRIVACY CONTROLS FOR INFORMATION SYSTEMS AND ORGANIZATIONS _________________________________________________________________________________________________ CHAPTER THREE PAGE 135 This publicati",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
رُصد حساب مدير الامتثال 'خالد العنزي' وهو يستخدم بيانات اعتماد مزدوجة حيث سُجّل دخول متزامن من موقعين جغرافيين مختلفين في الرياض وإسطنبول في نفس اللحظة. تحتوي الجلسة التركية على محاولات تصدير تقارير الامتثال مع FATF ومعلومات قوائم العقوبات المالية. يُعدّ هذا سيناريو مستحيلاً جسدياً مما يؤكد اختراق بيانات الاعتماد. يُشكّل تسريب هذه البيانات خطراً قانونياً ومالياً بالغاً على البنك.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:074 (NIST_SP_800_61_Incident.pdf): es and analyzes suspicious activity and reports each detected incident to the organization’s incident response team. – Some organizations perform basic incident response work in-house and call on contractors to assist with handling incidents, particularly those that are more serious or widespread.  Fully Outsourced. The organization completely outsources its incident response work, typically to an onsite contractor. This model is most likely to be used when the organization needs a full-time, onsite incident response team but does not have enough available, qualified employees. It is assumed that the organization will have employees supervising and overseeing the outsourcer’s work. 2.4.2 Team Model Selection When selecting appropriate structure and staffing models for an incident response",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
"ملاحظة امتثال مستخرجة من DOC:NIST_SP_800_61_Incident:183 (NIST_SP_800_61_Incident.pdf): onse team. A study of incident characteristics may indicate systemic security weaknesses and threats, as well as changes in incident trends. This data can be put back into the risk assessment process, ultimately leading to the selection and implementation of additional controls. Another good use of the data is measuring the success of the incident response team. If incident data is collected and stored properly, it should provide several measures of the success (or at least the activities) of the incident response team. Incident data can also be collected to determine if a change to incident response capabilities causes a corresponding change in the team’s performance (e.g., improvements in efficiency, reductions in costs). Furthermore, organizations that are required to report incident in",SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
ملاحظة امتثال مستخرجة من 2-13-3 (NCA_ECC_2018.pdf): The requirements for cybersecurity incidents and threat management must be reviewed periodically.,SUSPICIOUS_BEHAVIOR,Medium,legal_articles_from_pdfs.json,6
سيناريو تعافي DRP-038: تهديد 'هجوم حجب الخدمة (DDoS)' يؤثر على [تطبيقات الويب]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية. تفعيل خطة استمرارية الأعمال للعمليات المتأثرة.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6
تم رصد حساب المدير الإداري لنظام Core Banking يقوم بتسجيل دخول متكرر في ساعات غير اعتيادية بين الساعة 2:00 و4:00 فجراً خلال أيام العطل الرسمية. الحساب أجرى تعديلات على حدود السحب لعدد من العملاء دون مسار تدقيق واضح. تشير البيانات إلى أن عنوان IP المستخدم يختلف عن عنوان IP المعتاد للموظف المعني، وينتمي إلى نطاق جغرافي خارج المملكة العربية السعودية.,SUSPICIOUS_BEHAVIOR,Critical,data\imtithal_violations_latest.csv,6
